NH4_removal,P_removal,EI,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,S_K,S_Mg,S_IC,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,S_A_est,S_F_est,S_I_est,S_N2_est,S_NH4_est,S_NO3_est,S_O2_est,S_PO4_est,S_K_est,S_Mg_est,S_IC_est,X_AUT_est,X_H_est,X_I_est,X_PAO_est,X_PHA_est,X_PP_est,X_S_est
0.5,0.2,50.5,0.09672476116095167,0.14788912541419094,0.05745675559131182,0.031853420083008434,0.022058301557920268,0.0011171882421940767,0.0013484691611440347,0.6265552451809222,0.3762659950873716,0.024197915425584113,0.07450358138186661,0.16597455590626306,22.926605222945458,11.179138484003635,10.604365422602141,0.00541362199080862,2.8663781600404494,3.8702438804588803,0.09673862824612062,0.14787108067050675,0.05745675559131182,0.03174848191420181,0.022332153634217828,0.0011198561081798117,0.0013491377635733645,0.6223004967324752,0.3762659950873716,0.024190174330862235,0.0744764224657218,0.16630302908409492,22.930102028295877,11.174671067503171,10.593449355928607,0.005417604468605486,2.865408643869154,3.8704550770254555
0.9,0.4,100.0,0.09601608061199007,0.14684866965663002,0.05745681737242796,0.02819328635139088,0.01661884965281441,0.00041640035137825227,0.0013646606396635196,0.48738209833663027,0.3762194761813587,0.024330430758982183,0.07510076115665025,0.0759094260682583,22.559224444719476,10.98761581464552,10.971301653736194,0.00652953525643237,2.996217562915791,3.8366962445868062,0.09602162208491384,0.1468418944813527,0.05745681737242796,0.02835505046130018,0.01616698403890399,0.00041853094336739903,0.0013649192795325404,0.4968955686883795,0.3762194761813587,0.02434318048220563,0.07508972524957185,0.07528800467342556,22.55417577748861,10.994937931253261,10.98950237066437,0.006530655924882843,2.9978291270669115,3.836794105660846
0.5,0.2,1.0,0.09672474838318959,0.14788912591421205,0.05745675559120569,0.031853420249257136,0.02205830179039755,0.0011171883072037781,0.0013484691253577061,0.6265552136750498,0.37626599520280185,0.0241979153307726,0.07450357761375839,0.16597456603314414,22.92660548438504,11.179138556199486,10.604365095732794,0.005413621083551681,2.866378039373707,3.8702439363711436,0.09673862824612062,0.14787108067050675,0.05745675559120569,0.03174848191420181,0.022332153634217828,0.0011198561081798117,0.0013491377635733645,0.6223004967324752,0.37626599520280185,0.024190174330862235,0.0744764224657218,0.16630302908409492,22.930102028295877,11.174671067503171,10.593449355928607,0.005417604468605486,2.865408643869154,3.8704550770254555
0.29,0.8,29.29,0.0971035321992291,0.14845663332235468,0.057456723793098796,0.03368620511794619,0.025019241708571997,0.0015367039913780317,0.0013400227875498476,0.13981853410614845,0.3762856451573432,0.024125278211055222,0.07419100178683995,0.21329466655964174,23.12777803068697,11.279250359075256,10.408059347542453,0.004964966455082554,2.797243707083535,3.8876841834616664,0.09710581627103661,0.1484534648875397,0.057456723793098796,0.033667209079338525,0.025024387311879833,0.0015372246645522095,0.0013401391768431566,0.13743922325053892,0.3762856451573432,0.024125121453676793,0.07418632446651484,0.2130734015759108,23.127324540519663,11.278372385834983,10.40831998931679,0.004965682526246374,2.7975370279957357,3.887719405479476
0.5,0.1,100.0,0.09672562938192633,0.14788910752670983,0.05745675559217913,0.03185342175970892,0.02205829875276439,0.0011171885261511763,0.0013484695038344788,0.7077468106064426,0.37626599476478406,0.02419791796785814,0.07450359247691882,0.16597455668751668,22.926602744332172,11.17913695554127,10.604364257431351,0.005413603935649798,2.866380422180376,3.8702434042353153,0.09671085924110737,0.14790883936849666,0.05745675559217913,0.031729024374859485,0.022409384890938078,0.0011128812365704668,0.001347726115442675,0.7004138103076648,0.37626599476478406,0.024188007614228214,0.07453350910015963,0.1664466482789581,22.930121711905812,11.173346043134291,10.590215530946415,0.005407936413775209,2.8651747236130682,3.870017105824505
0.9,0.4,50.5,0.09601608063859486,0.14684866962794862,0.057456817372427804,0.028193286364242405,0.01661884965239618,0.00041640035600096995,0.0013646606440685884,0.4873820983664647,0.37621947618338025,0.02433043076041558,0.07510076113982211,0.07590942662630365,22.559224446182643,10.987615815012283,10.971301653268588,0.006529535602638905,2.9962175630141084,3.836696244626464,0.09602162208491384,0.1468418944813527,0.057456817372427804,0.02835505046130018,0.01616698403890399,0.00041853094336739903,0.0013649192795325404,0.4968955686883795,0.37621947618338025,0.02434318048220563,0.07508972524957185,0.07528800467342556,22.55417577748861,10.994937931253261,10.98950237066437,0.006530655924882843,2.9978291270669115,3.836794105660846
0.9,0.3,20.0,0.09601606240674794,0.1468486416856992,0.05745681737371068,0.02819328828657287,0.016618846300797886,0.000416400867431113,0.0013646609671709342,0.5721946261680952,0.3762194754613236,0.024330434605799218,0.0751007758894233,0.07590944742919262,22.55922090034334,10.987613588389525,10.971298781970624,0.006529479816024912,2.996221119579547,3.836695550661865,0.09599576878769225,0.1468737093593638,0.05745681737371068,0.028335592921957857,0.01624421529562424,0.00041155607175805435,0.0013637047956184404,0.5750088822635692,0.3762194754613236,0.024341013765571608,0.07514125722899614,0.07543162386828875,22.554195461098544,10.99361290688438,10.986268545682178,0.006524826788735285,2.997595206810826,3.8363434876729614
0.5,0.1,20.0,0.09672562853891042,0.14788910825420695,0.05745675559218475,0.0318534214161791,0.022058298731475474,0.001117188395544271,0.0013484693823235263,0.7077468100054287,0.376265994714306,0.02419791793426756,0.07450359290018396,0.16597454250065252,22.92660270157851,11.17913694449971,10.604364273021078,0.005413595043826898,2.866380421382135,3.870243402796612,0.09671085924110737,0.14790883936849666,0.05745675559218475,0.031729024374859485,0.022409384890938078,0.0011128812365704668,0.001347726115442675,0.7004138103076648,0.376265994714306,0.024188007614228214,0.07453350910015963,0.1664466482789581,22.930121711905812,11.173346043134291,10.590215530946415,0.005407936413775209,2.8651747236130682,3.870017105824505
0.5,0.2,60.0,0.09672563973544114,0.1478891250822354,0.05745675559137747,0.03185341995691039,0.022058301415534613,0.001117188196664371,0.0013484691721704258,0.6265552676346339,0.37626599505651703,0.024197915524609846,0.07450358360894482,0.16597454845478804,22.92660506028806,11.179138439260132,10.604365623198825,0.005413621730851333,2.8663782335022963,3.870243846152254,0.09673862824612062,0.14787108067050675,0.05745675559137747,0.03174848191420181,0.022332153634217828,0.0011198561081798117,0.0013491377635733645,0.6223004967324752,0.37626599505651703,0.024190174330862235,0.0744764224657218,0.16630302908409492,22.930102028295877,11.174671067503171,10.593449355928607,0.005417604468605486,2.865408643869154,3.8704550770254555
0.35,0.45,17.0,0.09698920308946461,0.14828603786914052,0.057456733347663734,0.033142626607192464,0.024128004715075934,0.0014093647588626034,0.0013425692753136604,0.4168113824826339,0.37628001820308166,0.02414728523755472,0.07428538376939917,0.19913344522506227,23.06720666159113,11.249100876391886,10.46708067803015,0.005094574303853791,2.8180723505851875,3.8824302606372307,0.09697437950834856,0.14830597511233998,0.057456733347663734,0.03308425571190246,0.024393090648119706,0.0014055213777148371,0.001341829804843981,0.41545907562964496,0.37628001820308166,0.024139838853169025,0.07431552978251194,0.19996690085479052,23.07101040061632,11.24637732279575,10.455439406594822,0.005090373087958616,2.8165112035022735,3.882193068980055
0.5,0.1,50.5,0.09672562853891732,0.14788910825420848,0.05745675559218476,0.031853421416181964,0.022058298731474486,0.0011171883955456256,0.0013484693823248054,0.7077468100055166,0.37626599471430744,0.024197917934268738,0.07450359290012823,0.16597454250104116,22.926602701578805,11.179136944499792,10.60436427302147,0.005413595044100819,2.866380421382451,3.87024340279655,0.09671085924110737,0.14790883936849666,0.05745675559218476,0.031729024374859485,0.022409384890938078,0.0011128812365704668,0.001347726115442675,0.7004138103076648,0.37626599471430744,0.024188007614228214,0.07453350910015963,0.1664466482789581,22.930121711905812,11.173346043134291,10.590215530946415,0.005407936413775209,2.8651747236130682,3.870017105824505
0.9,0.4,1.0,0.0960160806119913,0.14684866965662233,0.057456817372428005,0.028193286351389617,0.016618849652815924,0.0004164003513781233,0.0013646606396633294,0.48738209833650237,0.37621947618135554,0.024330430758979452,0.0751007611566268,0.0759094260682348,22.559224444720677,10.98761581464213,10.971301653735553,0.006529535256432378,2.996217562915498,3.8366962445871744,0.09602162208491384,0.1468418944813527,0.057456817372428005,0.02835505046130018,0.01616698403890399,0.00041853094336739903,0.0013649192795325404,0.4968955686883795,0.37621947618135554,0.02434318048220563,0.07508972524957185,0.07528800467342556,22.55417577748861,10.994937931253261,10.98950237066437,0.006530655924882843,2.9978291270669115,3.836794105660846
0.55,0.1,30.0,0.09663761165275929,0.1477570874012643,0.05745676304048625,0.03141622070128627,0.021371592752547665,0.0010220078778877984,0.0013504367907696405,0.7120064513069996,0.37626100107991245,0.024214638639921952,0.0745762307652165,0.15487711304647672,22.87996374273998,11.15581044687712,10.650029295989079,0.005526654093086331,2.8824620019954503,3.866176370867083,0.09663970343996366,0.1477555696609529,0.05745676304048625,0.0312999810584112,0.02165804650570391,0.001023471873066579,0.0013505358556051067,0.7042665226959502,0.37626100107991245,0.02420659170398763,0.07457263044682659,0.15510567502634023,22.883135851457386,11.150548145010832,10.638913701542837,0.005530670891614304,2.8816688039487666,3.8661946325014447
0.29,0.8,43.43,0.09710353219922915,0.14845663332235473,0.057456723793098796,0.033686205117946164,0.02501924170857204,0.0015367039913780289,0.0013400227875498445,0.13981853410614847,0.3762856451573431,0.024125278211055177,0.07419100178683966,0.21329466655964263,23.127778030686954,11.279250359075139,10.408059347542483,0.0049649664550825475,2.7972437070835428,3.8876841834616704,0.09710581627103661,0.1484534648875397,0.057456723793098796,0.033667209079338525,0.025024387311879833,0.0015372246645522095,0.0013401391768431566,0.13743922325053892,0.3762856451573431,0.024125121453676793,0.07418632446651484,0.2130734015759108,23.127324540519663,11.278372385834983,10.40831998931679,0.004965682526246374,2.7975370279957357,3.887719405479476
0.5,0.2,100.0,0.09672564011498705,0.14788912475381466,0.05745675559137488,0.031853420113949316,0.022058301425285552,0.0011171882564748792,0.0013484692278296594,0.6265552678323627,0.37626599507888847,0.024197915539265834,0.07450358342061399,0.16597455472115824,22.926605079825247,11.179138444332533,10.604365615773187,0.005413625647756217,2.866378233657481,3.8702438468407427,0.09673862824612062,0.14787108067050675,0.05745675559137488,0.03174848191420181,0.022332153634217828,0.0011198561081798117,0.0013491377635733645,0.6223004967324752,0.37626599507888847,0.024190174330862235,0.0744764224657218,0.16630302908409492,22.930102028295877,11.174671067503171,10.593449355928607,0.005417604468605486,2.865408643869154,3.8704550770254555
0.5,0.2,20.0,0.09672563973079276,0.14788912508248062,0.0574567555913594,0.03185341995681963,0.022058301415141573,0.0011171881964717697,0.0013484691722302736,0.6265552676267928,0.3762659950563335,0.024197915524488217,0.07450358360768927,0.16597454845320642,22.92660506034032,11.179138439169549,10.604365623084446,0.00541362173062819,2.8663782334544683,3.8702438461867827,0.09673862824612062,0.14787108067050675,0.0574567555913594,0.03174848191420181,0.022332153634217828,0.0011198561081798117,0.0013491377635733645,0.6223004967324752,0.3762659950563335,0.024190174330862235,0.0744764224657218,0.16630302908409492,22.930102028295877,11.174671067503171,10.593449355928607,0.005417604468605486,2.865408643869154,3.8704550770254555
0.35,0.45,17.0,0.0969892,0.148286,0.05745673,0.03314263,0.024128,0.001409365,0.001342569,0.4168114,0.37628,0.02414729,0.07428538,0.1991334,23.06721,11.2491,10.46708,0.005094574,2.818072,3.88243,0.09697437950834856,0.14830597511233998,0.05745673,0.03308425571190246,0.024393090648119706,0.0014055213777148371,0.001341829804843981,0.41545907562964496,0.37628,0.024139838853169025,0.07431552978251194,0.19996690085479052,23.07101040061632,11.24637732279575,10.455439406594822,0.005090373087958616,2.8165112035022735,3.882193068980055
